wid,agegroup,gender,handedness
w0001,25-40,female,right
w0002,41-60,male,right
w0003,25-40,female,right
w0004,18-24,female,ambidextrous
w0005,18-24,male,right
w0006,18-24,male,right
w0009,18-24,female,right
w0010,18-24,female,right
w0011,18-24,male,right
w0012,18-24,male,right
w0013,61+,female,right
w0015,41-60,female,right
w0016,18-24,female,right
w0017,25-40,male,right
w0018,61+,female,right
w0020,61+,female,right
w0022,25-40,female,right
w0023,25-40,female,left
w0024,18-24,female,right
w0025,41-60,male,left
w0026,18-24,male,right
w0027,41-60,female,right
w0028,41-60,female,right
w0029,41-60,female,right
w0030,18-24,male,right
w0031,41-60,male,right
w0032,18-24,male,right
w0033,41-60,female,right
w0034,25-40,female,right
w0035,41-60,female,right
w0036,18-24,female,right
w0038,41-60,female,left
w0040,25-40,female,right
w0041,41-60,female,right
w0042,25-40,female,right
w0043,41-60,male,right
w0049,41-60,female,right
w0058,18-24,female,right
w0061,25-40,female,right
w0062,41-60,female,right
w0063,18-24,female,left
w0064,18-24,female,right
w0066,18-24,male,right
w0069,18-24,female,left
w0070,25-40,male,right
w0071,25-40,male,right
w0073,61+,male,right
w0074,25-40,male,left
w0075,61+,female,right
w0076,41-60,female,right
w0077,25-40,male,right
w0078,61+,male,right
w0080,61+,female,right
w0082,41-60,male,right
w0083,25-40,female,right
w0085,25-40,male,right
w0086,41-60,female,right
w0087,41-60,female,right
w0088,18-24,male,right
w0089,25-40,male,right
w0090,61+,male,right
w0091,41-60,female,right
w0092,41-60,female,right
w0093,41-60,male,right
w0094,41-60,female,right
w0095,41-60,female,right
w0099,25-40,female,right
w0102,25-40,female,right
w0118,25-40,male,right
w0119,25-40,female,right
w0121,25-40,female,right
w0122,18-24,female,right
w0123,18-24,male,right
w0124,18-24,female,left
w0125,18-24,male,left
w0126,18-24,female,right
w0128,18-24,female,right
w0129,41-60,female,right
w0130,25-40,male,left
w0131,25-40,female,right
w0132,25-40,male,right
w0133,25-40,female,right
w0134,25-40,male,right
w0135,25-40,female,right
w0136,41-60,female,left
w0137,25-40,female,right
w0138,25-40,female,right
w0139,61+,male,right
w0142,25-40,female,right
w0143,41-60,female,right
w0144,41-60,female,right
w0145,25-40,male,right
w0146,25-40,female,right
w0147,41-60,female,right
w0148,25-40,male,right
w0149,41-60,male,right
w0150,41-60,female,right
w0151,18-24,female,right
w0152,18-24,male,right
w0153,41-60,male,right
w0154,61+,male,right
w0155,41-60,male,right
w0156,18-24,male,right
w0157,18-24,male,right
w0160,18-24,male,right
w0162,25-40,female,right
w0175,18-24,female,left
w0177,18-24,female,right
w0180,61+,female,right
w0182,41-60,male,right
w0184,18-24,female,left
w0186,41-60,male,left
w0189,18-24,female,right
w0191,25-40,female,right
w0193,61+,female,right
w0198,25-40,female,right
w0199,25-40,female,right
w0200,18-24,female,right
w0201,25-40,female,right
w0202,25-40,female,right
w0203,25-40,female,right
w0204,18-24,female,right
w0205,18-24,male,right
w0206,41-60,female,right
w0212,61+,female,right
w0216,unknown,unknown,unknown
w0218,18-24,male,left
w0220,25-40,male,right
w0223,18-24,female,left
w0224,41-60,female,right
w0226,41-60,male,right
w0227,41-60,female,right
w0229,61+,female,right
w0232,41-60,female,right
w0233,18-24,male,right
w0234,18-24,female,right
w0238,41-60,female,right
w0239,25-40,female,right
w0240,25-40,female,right
w0242,41-60,female,right
w0244,41-60,female,right
w0245,18-24,female,right
w0246,18-24,female,right
w0249,25-40,female,right
w0254,18-24,female,right
w0255,18-24,female,right
w0260,41-60,female,right
w0261,25-40,male,right
w0262,25-40,female,right
w0263,25-40,female,right
w0264,41-60,female,right
w0270,25-40,female,left
w0271,41-60,female,right
w0276,61+,female,right
w0277,41-60,female,right
w0279,41-60,female,right
w0280,41-60,female,right
w0281,25-40,female,right
w0282,18-24,male,right
w0284,25-40,female,right
w0285,41-60,female,right
w0286,41-60,male,right
w0287,18-24,female,left
w0288,18-24,female,right
w0289,unknown,unknown,unknown
w0291,41-60,male,right
w0293,25-40,female,left
w0297,18-24,female,right
w0299,25-40,male,right
w0301,41-60,female,right
w0302,18-24,male,right
w0304,41-60,male,right
w0305,41-60,female,right
w0306,25-40,male,right
w0308,18-24,female,right
w0312,18-24,female,right
w0313,18-24,female,right
w0314,18-24,female,right
w0315,18-24,female,right
w0317,25-40,female,right
w0319,25-40,female,right
w0320,41-60,female,right
w0322,25-40,female,right
w0330,41-60,female,right
w0333,41-60,male,left
w0334,41-60,male,right
w0335,18-24,female,right
w0337,41-60,female,right
w0338,41-60,female,right
w0339,25-40,female,right
w0340,25-40,male,right
w0341,25-40,male,right
w0342,18-24,male,right
w0344,25-40,female,right
w0345,unknown,unknown,unknown
w0348,25-40,female,right
w0350,41-60,female,right
w0351,25-40,male,right
w0352,61+,female,right
w0353,25-40,male,right
w0354,18-24,female,right
w0355,18-24,male,right
w0356,18-24,female,right
w0357,18-24,male,right
w0359,18-24,male,right
w0362,18-24,female,right
w0364,25-40,female,right
w0365,41-60,female,right
w0367,25-40,female,right
w0368,18-24,female,left
w0370,18-24,male,right
w0371,18-24,female,right
w0372,18-24,female,right
w0375,41-60,male,left
w0378,unknown,unknown,unknown
w0379,18-24,female,right
w0380,unknown,female,right
w0381,41-60,male,right
w0382,18-24,female,right
w0383,25-40,female,right
w0384,18-24,female,right
w0387,18-24,female,ambidextrous
w0388,25-40,female,right
w0391,18-24,female,right
w0392,18-24,female,right
w0393,18-24,female,right
w0394,unknown,unknown,unknown
w0396,18-24,female,right
w0397,18-24,male,right
w0398,18-24,female,right
w0399,25-40,female,right
w0400,18-24,female,right
w0401,18-24,female,ambidextrous
w0402,18-24,female,left
w0403,18-24,female,right
w0405,18-24,female,right
w0406,18-24,female,right
w0407,18-24,female,right
w0408,18-24,female,right
w0409,18-24,female,right
w0410,18-24,female,right
w0411,18-24,female,right
w0412,18-24,female,right
w0413,25-40,female,right
w0414,18-24,female,right
w0415,61+,female,right
w0416,18-24,female,right
w0417,18-24,male,right
w0418,unknown,unknown,unknown
w0419,18-24,female,right
w0420,18-24,female,right
w0422,25-40,male,left
w0424,25-40,male,right
w0425,25-40,male,right
w0426,18-24,female,right
w0428,18-24,male,right
w0429,18-24,female,right
w0431,18-24,female,left
w0433,18-24,female,right
w0435,18-24,female,right
w0436,18-24,male,right
w0439,25-40,female,right
w0440,18-24,female,left
w0441,18-24,male,right
w0443,18-24,female,right
w0444,25-40,male,left
w0445,18-24,female,right
w0446,25-40,female,right
w0448,41-60,female,right
w0450,25-40,female,right
w0451,18-24,female,right
w0452,41-60,female,right
w0453,unknown,unknown,unknown
w0454,18-24,female,left
w0456,18-24,male,right
w0458,18-24,male,left
w0459,unknown,unknown,unknown
w0460,18-24,male,right
w0462,18-24,female,right
w0463,25-40,female,right
w0464,18-24,female,right
w0465,18-24,female,right
w0466,41-60,male,right
w0467,18-24,male,right
w0468,18-24,male,right
w0469,18-24,male,right
w0470,18-24,male,right
w0471,18-24,male,right
w0472,18-24,unknown,right
w0473,18-24,male,right
w0474,unknown,unknown,unknown
w0475,18-24,female,right
w0476,25-40,female,right
w0477,25-40,female,right
w0478,unknown,unknown,unknown
w0479,18-24,male,right
w0480,18-24,male,right
w0481,18-24,male,right
w0483,18-24,female,right
w0484,18-24,female,left
w0485,18-24,female,right
w0486,18-24,female,right
w0487,25-40,male,right
w0489,18-24,female,right
w0492,25-40,female,right
w0493,unknown,female,left
w0495,18-24,female,right
w0497,41-60,female,right
w0498,25-40,female,right
w0500,18-24,female,right
w0501,18-24,female,right
w0502,25-40,female,right
w0508,25-40,female,right
w0510,18-24,female,right
w0513,18-24,female,right
w0514,25-40,female,right
w0515,41-60,female,right
w0516,18-24,male,right
w0517,25-40,female,right
w0518,18-24,female,right
w0519,18-24,female,right
w0520,18-24,female,right
w0521,18-24,female,right
w0522,18-24,female,right
w0523,18-24,female,right
w0524,18-24,female,right
w0525,18-24,female,right
w0526,18-24,female,right
w0527,18-24,female,right
w0528,18-24,male,right
w0529,25-40,female,right
w0530,18-24,female,right
w0531,18-24,male,left
w0532,18-24,female,right
w0533,18-24,female,right
w0534,25-40,male,right
w0535,18-24,female,right
w0536,18-24,female,right
w0537,18-24,male,right
w0538,18-24,female,right
w0541,18-24,male,left
w0542,18-24,male,left
w0543,18-24,female,right
w0546,18-24,female,left
w0547,18-24,female,right
w0548,41-60,male,right
w0549,18-24,female,right
w0550,18-24,female,right
w0551,18-24,female,right
w0552,18-24,female,right
w0553,18-24,female,right
w0554,18-24,female,right
w0555,18-24,female,right
w0557,18-24,female,right
w0559,18-24,male,right
w0560,18-24,female,right
w0561,25-40,female,right
w0562,18-24,female,right
w0564,25-40,female,right
w0565,18-24,female,left
w0566,41-60,female,right
w0569,25-40,female,right
w0570,18-24,female,right
w0571,18-24,male,right
w0572,18-24,female,right
w0573,61+,female,right
w0575,25-40,female,right
w0576,18-24,female,right
w0577,18-24,female,right
w0579,18-24,male,right
w0580,18-24,male,right
w0581,41-60,male,right
w0586,61+,female,right
w0587,41-60,male,right
w0588,41-60,female,right
w0589,41-60,male,right
w0590,61+,male,right
w0591,41-60,female,right
w0592,41-60,female,right
w0593,18-24,male,left
w0594,18-24,male,right
w0595,18-24,male,right
w0596,18-24,male,right
w0597,25-40,female,right
w0598,25-40,male,left
w0599,18-24,female,right
w0600,41-60,female,right
w0601,18-24,female,right
w0602,18-24,female,right
w0604,18-24,male,right
w0605,25-40,male,right
w0606,18-24,male,left
w0611,61+,male,right
w0612,18-24,female,right
w0613,18-24,female,right
w0615,41-60,male,right
w0617,18-24,female,right
w0618,41-60,female,right
w0619,18-24,female,right
w0620,18-24,female,right
w0621,18-24,female,right
w0622,25-40,female,right
w0623,25-40,female,right
w0624,18-24,female,right
w0626,18-24,female,right
w0627,41-60,male,right
w0628,25-40,female,right
w0629,41-60,female,right
w0630,18-24,female,right
w0632,18-24,female,left
w0634,25-40,female,right
w0636,18-24,female,right
w0637,18-24,female,right
w0638,18-24,female,left
w0639,18-24,female,right
w0640,18-24,male,right
w0641,18-24,female,right
w0642,18-24,unknown,right
w0644,18-24,female,right
w0645,18-24,female,right
w0646,18-24,female,right
w0647,41-60,female,right
w0648,41-60,male,left
w0650,25-40,unknown,right
w0653,25-40,female,right
